    ADMIT      GRE TOPNOTCH      GPA
      .00   380.00      .00     3.61
     1.00   660.00     1.00     3.67
     1.00   800.00     1.00     4.00
     1.00   640.00      .00     3.19
      .00   520.00      .00     2.93
     1.00   760.00      .00     3.00
     1.00   560.00      .00     2.98
      .00   400.00      .00     3.08
     1.00   540.00      .00     3.39
      .00   700.00     1.00     3.92
      .00   800.00     1.00     4.00
      .00   440.00      .00     3.22
     1.00   760.00      .00     4.00
      .00   700.00      .00     3.08
     1.00   700.00     1.00     4.00
      .00   480.00      .00     3.44
      .00   780.00      .00     3.87
      .00   360.00      .00     2.56
      .00   800.00      .00     3.75
     1.00   540.00      .00     3.81
      .00   500.00      .00     3.17
     1.00   660.00     1.00     3.63
      .00   600.00      .00     2.82
      .00   680.00      .00     3.19
     1.00   760.00      .00     3.35
     1.00   800.00      .00     3.66
     1.00   620.00     1.00     3.61
     1.00   520.00      .00     3.74
     1.00   780.00      .00     3.22
      .00   520.00      .00     3.29
      .00   540.00      .00     3.78
      .00   760.00      .00     3.35
      .00   600.00      .00     3.40
     1.00   800.00     1.00     4.00
      .00   360.00      .00     3.14
      .00   400.00      .00     3.05
      .00   580.00      .00     3.25
      .00   520.00      .00     2.90
     1.00   500.00      .00     3.13
     1.00   520.00      .00     2.68
      .00   560.00      .00     2.42
     1.00   580.00     1.00     3.32
     1.00   600.00      .00     3.15
      .00   500.00      .00     3.31
      .00   700.00     1.00     2.94
     1.00   460.00      .00     3.45
     1.00   580.00      .00     3.46
      .00   500.00      .00     2.97
      .00   440.00      .00     2.48
      .00   400.00      .00     3.35
      .00   640.00      .00     3.86
      .00   440.00      .00     3.13
      .00   740.00      .00     3.37
     1.00   680.00      .00     3.27
      .00   660.00      .00     3.34
     1.00   740.00      .00     4.00
      .00   560.00      .00     3.19
      .00   380.00      .00     2.94
      .00   400.00      .00     3.65
      .00   600.00      .00     2.82
     1.00   620.00      .00     3.18
      .00   560.00      .00     3.32
      .00   640.00     1.00     3.67
     1.00   680.00      .00     3.85
      .00   580.00     1.00     4.00
      .00   600.00      .00     3.59
      .00   740.00      .00     3.62
      .00   620.00      .00     3.30
      .00   580.00      .00     3.69
      .00   800.00      .00     3.73
      .00   640.00      .00     4.00
      .00   300.00      .00     2.92
      .00   480.00      .00     3.39
      .00   580.00     1.00     4.00
      .00   720.00      .00     3.45
      .00   720.00      .00     4.00
      .00   560.00      .00     3.36
     1.00   800.00     1.00     4.00
      .00   540.00      .00     3.12
     1.00   620.00     1.00     4.00
      .00   700.00      .00     2.90
      .00   620.00      .00     3.07
      .00   500.00     1.00     2.71
      .00   380.00      .00     2.91
     1.00   500.00      .00     3.60
      .00   520.00      .00     2.98
      .00   600.00      .00     3.32
      .00   600.00      .00     3.48
      .00   700.00      .00     3.28
     1.00   660.00      .00     4.00
      .00   700.00     1.00     3.83
     1.00   720.00      .00     3.64
      .00   800.00      .00     3.90
      .00   580.00      .00     2.93
     1.00   660.00      .00     3.44
      .00   660.00      .00     3.33
      .00   640.00      .00     3.52
      .00   480.00      .00     3.57
      .00   700.00      .00     2.88
      .00   400.00      .00     3.31
      .00   340.00      .00     3.15
      .00   580.00      .00     3.57
      .00   380.00      .00     3.33
      .00   540.00      .00     3.94
